"section_course_id","sections_per_program_year_id","course_assignment_id","is_copy","created_at","updated_at"
"440","99","8","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"441","99","9","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"442","100","20","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"443","100","21","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"444","100","22","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"445","100","23","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"446","100","24","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"447","100","25","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"448","100","26","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"449","100","27","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"450","101","39","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"451","101","40","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"452","101","41","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"453","101","42","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"454","101","43","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"455","101","44","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"456","101","45","0","2024-12-15 21:56:41","2024-12-15 21:56:41"
